k,bic,log_likelihood,modified_objective,n_iter,converged,n_params,elapsed_sec
2,-12401470.71417562,6209925.445794994,6209422.372400318,12,True,1679,6.048399209976196
4,-13137524.439993672,6587147.870960165,6586632.611811299,29,True,3359,18.46264624595642
8,-13543968.502460506,6808761.026705872,6808257.3381579695,19,True,6719,23.315405130386356
16,-14044798.014753412,7095958.031876907,7095467.978379638,66,True,13439,143.5188853740692
32,-14423726.17633772,7358986.610718222,7358510.582292975,77,True,26879,333.40622901916504
64,-14764877.47561632,7676691.256455848,7676238.051062177,52,True,53759,456.3991913795471
128,-14882310.12771698,8029665.574702827,8029237.701536159,126,True,107519,2153.8650760650635
