k,bic,log_likelihood,n_iter,converged,elapsed_sec
2,-12407032.754480174,6210090.130691528,12,True,2.1031956672668457
4,-13148353.342161682,6587329.651550293,29,True,1.5205347537994385
8,-13578328.929893468,6815475.8994522095,30,True,2.5074825286865234
16,-14102008.164393296,7103632.42477417,63,True,8.294401407241821
32,-14499017.134583134,7354770.726013184,50,True,6.294722318649292
64,-14891047.41309758,7656053.497558594,66,True,11.952394008636476
128,-15169450.04315504,8005790.077163696,51,True,14.48973798751831
256,-15145634.573472591,8414952.87147522,62,True,23.83352565765381
512,-14378973.906171905,8873763.596130371,73,True,46.51314330101013
