k,bic,log_likelihood,modified_objective,n_iter,converged,n_params,elapsed_sec
256,-14497377.427390125,8425715.2089327,8425296.90227997,90,True,215039,3175.4770159721375
512,-13011679.39730678,8859898.162677627,8859501.862660557,54,True,430079,3730.132776260376
